,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background 
20907,60-64,Ontario,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$75,000-$99,999",None,White
20908,60-64,Saskatchewan,Male,Spanish,English,Couple - No Children Living At Home,None,Professionals,"$125,000-$149,999","$60,000-$74,999",White
20909,30-34,Ontario,Female,Other,English,Empty Nesters,High School Graduation Certificate,Unskilled,"$75,000-$99,999","Under $25,000",White
20910,40-44,Alberta,Male,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Skilled,"Under $25,000","$125,000-$149,999",White
20911,35-39,British Columbia,Female,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$125,000-$149,999","$25,000-$34,999",White
20912,25-29,Quebec,Male,English,English,Empty Nesters,High School Graduation Certificate,Skilled,"$200,000 Or Over","$100,000-$124,999",White
20913,55-59,Nova Scotia,Female,English,French,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$50,000-$59,999","$60,000-$74,999",White
20914,50-54,Alberta,Male,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$50,000-$59,999",White
20915,22-24,Alberta,Female,English,English,Couple - No Children Living At Home,None,Other,"$60,000-$74,999","$125,000-$149,999",White
20916,15-17,British Columbia,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Senior Managers/Owners,"Under $25,000","$40,000-$49,999",White
20917,20-21,Ontario,Female,English,English,Adult Living Alone,Elementary School Graduation Cert,Other,"$60,000-$74,999","$25,000-$34,999",White
20918,30-34,Quebec,Male,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Professionals,"$150,000-$199,999","$50,000-$59,999",White
20919,40-44,Ontario,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Senior Managers/Owners,"$100,000-$124,999","$50,000-$59,999",White
20920,45-49,Saskatchewan,Female,English,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other,"Under $25,000","$200,000 Or Over",Black
20921,50-54,Ontario,Male,English,Ukrainian,Couple With Children Living at Home,High School Graduation Certificate,Other,"$40,000-$49,999","$40,000-$49,999",White
20922,70+,Alberta,Male,French,English,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$35,000-$39,999","Under $25,000",White
20923,70+,British Columbia,Female,German,English,Couple With Children Living at Home,"""Masters Degrees""",Professionals,"$35,000-$39,999","$60,000-$74,999",White
20924,60-64,British Columbia,Male,Arabic,French,Empty Nesters,Elementary School Graduation Cert,Senior Managers/Owners,"$75,000-$99,999","$100,000-$124,999",White
20925,40-44,Ontario,Female,English,English,Empty Nesters,Trade Certificate/Diploma,Professionals,"$150,000-$199,999","Under $25,000",White
20926,35-39,Ontario,Female,Greek,English,Adult With Children Living At Home,Trade Certificate/Diploma,Other,"$25,000-$34,999","$75,000-$99,999",White
20927,65-69,Quebec,Female,Other,English,Couple With Children Living at Home,Elementary School Graduation Cert,Professionals,"$60,000-$74,999","$100,000-$124,999",White
20928,65-69,Ontario,Female,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","Under $25,000",White
20929,22-24,Ontario,Male,English,German,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$60,000-$74,999","$25,000-$34,999",White
20930,70+,Saskatchewan,Female,English,English,Empty Nesters,High School Graduation Certificate,Other,"$60,000-$74,999","Under $25,000",White
20931,70+,Quebec,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Clerical/Secretarial,"$40,000-$49,999","$25,000-$34,999",Not Stated
20932,40-44,Ontario,Male,Greek,English,Empty Nesters,"""Masters Degrees""",Other,"$40,000-$49,999","Under $25,000",White
20933,25-29,Ontario,Male,Spanish,French,Adult Living Alone,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$75,000-$99,999",Black
20934,60-64,British Columbia,Male,English,French,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$100,000-$124,999","Under $25,000",White
20935,45-49,Alberta,Female,English,English,Empty Nesters,"Other Certificate/Diploma, Not Univ.",Other,"$75,000-$99,999","$75,000-$99,999",White
20936,40-44,Ontario,Female,English,German,Empty Nesters,Trade Certificate/Diploma,Other Managers,"$200,000 Or Over","Under $25,000",White
20937,55-59,Ontario,Female,English,Other,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$35,000-$39,999","$75,000-$99,999",Black
20938,65-69,Ontario,Female,French,French,Adult With Children Living At Home,High School Graduation Certificate,Other,"$150,000-$199,999","$25,000-$34,999",White
20939,55-59,Ontario,Male,French,English,Couple - No Children Living At Home,"""Masters Degrees""",Clerical/Secretarial,"Under $25,000","Under $25,000",Latin/Central and South American
20940,65-69,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$75,000-$99,999","$75,000-$99,999",White
20941,35-39,British Columbia,Male,English,English,Couple With Children Living at Home,None,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","Under $25,000",White
20942,45-49,Quebec,Male,English,French,Adult Sharing Accommodation,High School Graduation Certificate,Other,"$75,000-$99,999","$40,000-$49,999",Aboriginal
20943,30-34,Alberta,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Professionals,"$60,000-$74,999","$40,000-$49,999","South Asian (East Indian, Pakistani)"
20944,30-34,Ontario,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other Managers,"$200,000 Or Over","$60,000-$74,999",White
20945,25-29,Manitoba,Male,English,English,Adult With Children Living At Home,Elementary School Graduation Cert,Other Managers,"$125,000-$149,999","$100,000-$124,999",White
20946,19 Years,Quebec,Female,French,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$50,000-$59,999","Under $25,000",White
20947,55-59,British Columbia,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","$25,000-$34,999",White
20948,30-34,British Columbia,Male,Spanish,French,Adult Sharing Accommodation,Elementary School Graduation Cert,Professionals,"$75,000-$99,999","$100,000-$124,999",White
20949,18 Years,British Columbia,Female,English,Other,Empty Nesters,None,Other,"Under $25,000","Under $25,000","East/South Asian (Cambodian, Indonesian)"
20950,70+,Ontario,Male,English,English,Adult Living Alone,Elementary School Graduation Cert,Other,"$35,000-$39,999","$40,000-$49,999","East/South Asian (Cambodian, Indonesian)"
20951,60-64,British Columbia,Female,Other,English,Couple With Children Living at Home,High School Graduation Certificate,Professionals,"$200,000 Or Over","$25,000-$34,999",White
20952,22-24,Ontario,Female,English,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$50,000-$59,999","$100,000-$124,999","South Asian (East Indian, Pakistani)"
20953,19 Years,Saskatchewan,Female,English,English,Empty Nesters,Univ. Cert./Dipl. Below Bachelor Level,Professionals,"$100,000-$124,999","$40,000-$49,999",White
20954,25-29,Quebec,Male,English,French,Other,"""Bachelors Degrees""",Other,"$50,000-$59,999","Under $25,000",White
20955,45-49,Ontario,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$75,000-$99,999","$100,000-$124,999",White
20956,40-44,Ontario,Female,English,English,Adult Living Alone,Degree In Medicine/Dentistry/ Veterinary Medic,Other,"$40,000-$49,999","$25,000-$34,999",White
20957,45-49,Quebec,Male,French,Arabic,Couple - No Children Living At Home,"""Bachelors Degrees""",Other,"$100,000-$124,999","$60,000-$74,999",White
20958,70+,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$100,000-$124,999","$25,000-$34,999",White
20959,25-29,New Brunswick,Male,English,English,Empty Nesters,High School Graduation Certificate,Clerical/Secretarial,"$75,000-$99,999","Under $25,000","South Asian (East Indian, Pakistani)"
20960,45-49,Ontario,Female,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Professionals,"$75,000-$99,999",None,White
20961,25-29,Ontario,Male,English,French,Couple - No Children Living At Home,High School Graduation Certificate,Other Managers,"$35,000-$39,999","$75,000-$99,999","South Asian (East Indian, Pakistani)"
20962,18 Years,British Columbia,Female,English,French,Other,High School Graduation Certificate,Skilled,"$150,000-$199,999","$40,000-$49,999",White
20963,70+,Ontario,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$200,000 Or Over","Under $25,000",White
20964,25-29,Quebec,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"Under $25,000","$35,000-$39,999",Black
20965,40-44,Quebec,Male,Other,English,Adult Sharing Accommodation,Univ. Cert./Dipl. Above Bachelor Level,Other,"$75,000-$99,999","Under $25,000",White
20966,65-69,Quebec,Female,Other,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$200,000 Or Over","Under $25,000",White
20967,40-44,Quebec,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$200,000 Or Over",None,White
20968,65-69,Ontario,Male,English,Chinese-Cantonese,Empty Nesters,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"$100,000-$124,999","Under $25,000",White
20969,70+,Ontario,Male,English,English,Empty Nesters,High School Graduation Certificate,Technical/Sales/Teaching/Other White Collar,"Under $25,000","$75,000-$99,999",Other
20970,40-44,Ontario,Female,English,English,Couple With Children Living at Home,"""Masters Degrees""",Other Managers,"$35,000-$39,999","$100,000-$124,999","South Asian (East Indian, Pakistani)"
20971,30-34,Ontario,Female,French,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Senior Managers/Owners,"$150,000-$199,999","$40,000-$49,999",White
20972,60-64,Manitoba,Female,French,Other,Empty Nesters,"""Bachelors Degrees""",Skilled,"Under $25,000","$60,000-$74,999",White
20973,45-49,British Columbia,Female,French,Chinese-Cantonese,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"Under $25,000","Under $25,000",Aboriginal
20974,30-34,Manitoba,Male,English,English,Adult Sharing Accommodation,"""Masters Degrees""",Other,"$100,000-$124,999","$50,000-$59,999",White
20975,25-29,Ontario,Female,French,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$100,000-$124,999","Under $25,000",White
20976,14 Years,Quebec,Female,French,English,Adult Sharing Accommodation,Trade Certificate/Diploma,Other Managers,"$25,000-$34,999","$60,000-$74,999",White
20977,35-39,British Columbia,Male,Chinese-Other,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$75,000-$99,999","$35,000-$39,999",White
20978,70+,British Columbia,Female,English,English,Empty Nesters,Elementary School Graduation Cert,Unskilled,"$200,000 Or Over","$50,000-$59,999",Chinese
20979,60-64,British Columbia,Male,English,English,Empty Nesters,Elementary School Graduation Cert,Other Managers,"$100,000-$124,999","$35,000-$39,999",White
20980,22-24,Ontario,Female,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other,"$60,000-$74,999","$60,000-$74,999",White
20981,50-54,Ontario,Male,Spanish,French,Couple - No Children Living At Home,"""Bachelors Degrees""",Clerical/Secretarial,"$125,000-$149,999","$35,000-$39,999","South Asian (East Indian, Pakistani)"
20982,60-64,Ontario,Male,Ukrainian,English,Couple - No Children Living At Home,"""Masters Degrees""",Other,"Under $25,000","$75,000-$99,999",White
20983,45-49,Ontario,Female,English,French,Empty Nesters,Univ. Cert./Dipl. Below Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$150,000-$199,999","Under $25,000",White
20984,19 Years,Alberta,Female,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Senior Managers/Owners,"$200,000 Or Over","$100,000-$124,999",White
20985,55-59,Ontario,Male,English,English,Empty Nesters,High School Graduation Certificate,Other,"$50,000-$59,999","Under $25,000",White
20986,70+,Quebec,Female,French,French,Empty Nesters,Trade Certificate/Diploma,Other,"$100,000-$124,999","$25,000-$34,999",White
20987,50-54,Quebec,Female,French,English,Adult Living Alone,High School Graduation Certificate,Other,"Under $25,000",None,White
20988,40-44,Manitoba,Male,English,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Unskilled,"$35,000-$39,999","$125,000-$149,999",White
20989,60-64,British Columbia,Female,English,English,Empty Nesters,"""Masters Degrees""",Skilled,"$75,000-$99,999","Under $25,000",White
20990,25-29,Ontario,Female,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$50,000-$59,999",White
20991,60-64,Alberta,Male,English,English,Other,Univ. Cert./Dipl. Below Bachelor Level,Other,"$60,000-$74,999",None,White
20992,65-69,Manitoba,Male,English,English,Empty Nesters,Trade Certificate/Diploma,Unskilled,"$60,000-$74,999","Under $25,000","East/South Asian (Cambodian, Indonesian)"
20993,40-44,Alberta,Male,Other,French,Couple - No Children Living At Home,Trade Certificate/Diploma,Clerical/Secretarial,"$125,000-$149,999","$40,000-$49,999",White
20994,20-21,Alberta,Female,English,English,Couple With Children Living at Home,"""Masters Degrees""",Technical/Sales/Teaching/Other White Collar,"$125,000-$149,999","$40,000-$49,999",White
20995,35-39,Alberta,Male,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$100,000-$124,999","Under $25,000",White
20996,35-39,Manitoba,Male,English,French,Adult Living Alone,Trade Certificate/Diploma,Other,"$25,000-$34,999",None,White
